bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.0,0.0,0.0,0.8799999999999999,0.0,not_compilable
2,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,not_compilable
3,0.9607843137254902,0.9074074074074074,0.9333333333333333,0.975609756097561,0.8,0.8791208791208791,0.9333333333333333,0.8791208791208791,pass
4,1.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9411764705882353,notpass
5,1.0,0.9655172413793104,0.9824561403508771,1.0,0.896551724137931,0.9454545454545454,0.9824561403508771,0.9454545454545454,pass
6,1.0,0.6666666666666666,0.8,1.0,0.8181818181818182,0.9,0.8,0.9,pass
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
8,1.0,0.8888888888888888,0.9411764705882353,0.0,0.0,0.0,0.9411764705882353,0.0,not_compilable
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
10,1.0,1.0,1.0,0.8,1.0,0.888888888888889,1.0,0.888888888888889,notpass
11,1.0,0.8181818181818182,0.9,1.0,0.8181818181818182,0.9,0.9,0.9,pass
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
14,1.0,0.8571428571428571,0.923076923076923,1.0,0.8095238095238095,0.8947368421052632,0.923076923076923,0.8947368421052632,notpass
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
16,1.0,0.7727272727272727,0.8717948717948718,1.0,0.875,0.9333333333333333,0.8717948717948718,0.9333333333333333,pass
17,0.8,0.8,0.8000000000000002,0.6875,0.7333333333333333,0.7096774193548386,0.8000000000000002,0.7096774193548386,notpass
18,1.0,0.9032258064516129,0.9491525423728813,1.0,0.813953488372093,0.8974358974358974,0.9491525423728813,0.8974358974358974,pass
19,1.0,1.0,1.0,0.6,1.0,0.7499999999999999,1.0,0.7499999999999999,pass
20,1.0,0.9230769230769231,0.9600000000000001,1.0,1.0,1.0,0.9600000000000001,1.0,pass
21,1.0,0.9375,0.967741935483871,0.967741935483871,0.8823529411764706,0.923076923076923,0.967741935483871,0.923076923076923,notpass
22,0.9444444444444444,1.0,0.9714285714285714,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9714285714285714,0.9411764705882353,notpass
23,0.5416666666666666,1.0,0.7027027027027027,1.0,1.0,1.0,0.7027027027027027,1.0,pass
24,1.0,0.9375,0.967741935483871,0.8947368421052632,1.0,0.9444444444444444,0.967741935483871,0.9444444444444444,notpass
25,0.9375,1.0,0.967741935483871,0.0,0.0,0.0,0.967741935483871,0.0,not_compilable
26,0.5294117647058824,0.9,0.6666666666666667,0.5,0.8888888888888888,0.64,0.6666666666666667,0.64,notpass
27,0.2,1.0,0.33333333333333337,0.46153846153846156,1.0,0.631578947368421,0.33333333333333337,0.631578947368421,notpass
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
29,0.9032258064516129,1.0,0.9491525423728813,0.0,0.0,0.0,0.9491525423728813,0.0,not_compilable
30,0.9565217391304348,1.0,0.9777777777777777,0.8928571428571429,0.9615384615384616,0.9259259259259259,0.9777777777777777,0.9259259259259259,notpass
31,0.96875,0.9117647058823529,0.9393939393939394,1.0,0.8085106382978723,0.8941176470588235,0.9393939393939394,0.8941176470588235,pass
32,0.9,0.8571428571428571,0.8780487804878048,0.7608695652173914,0.8536585365853658,0.8045977011494252,0.8780487804878048,0.8045977011494252,pass
33,1.0,0.7,0.8235294117647058,1.0,0.7142857142857143,0.8333333333333333,0.8235294117647058,0.8333333333333333,pass
34,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,not_compilable
35,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.5714285714285714,0.6666666666666665,notpass
36,0.8095238095238095,1.0,0.8947368421052632,0.0,0.0,0.0,0.8947368421052632,0.0,not_compilable
37,1.0,0.9038461538461539,0.9494949494949495,1.0,0.9298245614035088,0.9636363636363636,0.9494949494949495,0.9636363636363636,notpass
38,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8571428571428571,0.923076923076923,0.9090909090909091,0.923076923076923,pass
39,1.0,0.9230769230769231,0.9600000000000001,1.0,0.9259259259259259,0.9615384615384615,0.9600000000000001,0.9615384615384615,pass
40,1.0,0.8,0.888888888888889,1.0,0.75,0.8571428571428571,0.888888888888889,0.8571428571428571,notpass
41,0.9642857142857143,0.9473684210526315,0.9557522123893805,0.9833333333333333,0.921875,0.9516129032258064,0.9557522123893805,0.9516129032258064,pass
42,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
43,1.0,0.78125,0.8771929824561403,0.0,0.0,0.0,0.8771929824561403,0.0,not_compilable
44,1.0,0.8571428571428571,0.923076923076923,1.0,0.8571428571428571,0.923076923076923,0.923076923076923,0.923076923076923,notpass
45,1.0,0.8709677419354839,0.9310344827586207,1.0,0.8285714285714286,0.90625,0.9310344827586207,0.90625,pass
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
48,0.9411764705882353,0.5161290322580645,0.6666666666666666,1.0,0.9705882352941176,0.9850746268656716,0.6666666666666666,0.9850746268656716,pass
49,0.8636363636363636,0.4634146341463415,0.6031746031746033,0.9375,0.9090909090909091,0.923076923076923,0.6031746031746033,0.923076923076923,notpass
50,0.96875,0.9841269841269841,0.9763779527559054,1.0,0.9705882352941176,0.9850746268656716,0.9763779527559054,0.9850746268656716,pass
51,1.0,0.8181818181818182,0.9,1.0,0.8571428571428571,0.923076923076923,0.9,0.923076923076923,pass
52,0.8333333333333334,1.0,0.9090909090909091,0.5833333333333334,1.0,0.7368421052631579,0.9090909090909091,0.7368421052631579,notpass
53,1.0,1.0,1.0,0.875,0.9333333333333333,0.9032258064516129,1.0,0.9032258064516129,pass
54,0.7023809523809523,1.0,0.8251748251748251,0.7317073170731707,1.0,0.8450704225352113,0.8251748251748251,0.8450704225352113,notpass
