bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,1.0,0.9230769230769231,0.9600000000000001,1.0,0.9166666666666666,0.9565217391304348,0.9600000000000001,0.9565217391304348,pass
2,1.0,0.8947368421052632,0.9444444444444444,1.0,0.9,0.9473684210526316,0.9444444444444444,0.9473684210526316,pass
3,1.0,0.203125,0.33766233766233766,0.6923076923076923,0.15517241379310345,0.2535211267605634,0.33766233766233766,0.2535211267605634,notpass
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,notpass
5,1.0,0.9411764705882353,0.9696969696969697,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9696969696969697,0.9411764705882353,pass
6,1.0,0.6363636363636364,0.7777777777777778,1.0,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.7777777777777778,pass
7,1.0,0.8571428571428571,0.923076923076923,0.7692307692307693,0.8695652173913043,0.8163265306122449,0.923076923076923,0.8163265306122449,notpass
8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
10,1.0,0.8571428571428571,0.923076923076923,1.0,0.6666666666666666,0.8,0.923076923076923,0.8,pass
11,1.0,0.7317073170731707,0.8450704225352113,0.0,0.0,0.0,0.8450704225352113,0.0,not_compilable
12,1.0,0.7777777777777778,0.8750000000000001,0.0,0.0,0.0,0.8750000000000001,0.0,not_compilable
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
15,0.9571428571428572,0.9178082191780822,0.9370629370629371,0.9090909090909091,1.0,0.9523809523809523,0.9370629370629371,0.9523809523809523,pass
16,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8571428571428571,0.923076923076923,0.9090909090909091,0.923076923076923,pass
18,1.0,0.875,0.9333333333333333,1.0,0.875,0.9333333333333333,0.9333333333333333,0.9333333333333333,notpass
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_compilable
20,0.8888888888888888,1.0,0.9411764705882353,0.9090909090909091,1.0,0.9523809523809523,0.9411764705882353,0.9523809523809523,pass
21,0.8620689655172413,0.7352941176470589,0.7936507936507937,0.8571428571428571,0.7272727272727273,0.7868852459016394,0.7936507936507937,0.7868852459016394,notpass
22,0.5,0.2,0.28571428571428575,0.0,0.0,0.0,0.28571428571428575,0.0,not_compilable
23,1.0,0.7931034482758621,0.8846153846153846,1.0,0.8695652173913043,0.9302325581395349,0.8846153846153846,0.9302325581395349,pass
24,1.0,0.6666666666666666,0.8,1.0,0.625,0.7692307692307693,0.8,0.7692307692307693,pass
26,1.0,0.75,0.8571428571428571,1.0,0.8333333333333334,0.9090909090909091,0.8571428571428571,0.9090909090909091,pass
27,0.8571428571428571,1.0,0.923076923076923,1.0,1.0,1.0,0.923076923076923,1.0,pass
28,0.75,0.782608695652174,0.7659574468085107,0.7391304347826086,0.68,0.7083333333333334,0.7659574468085107,0.7083333333333334,notpass
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
