repair_result,buggy_result,fixed_result,groundtruth_result,count,ratio
Pass,Not Pass,Not Pass,NA,171,0.20023419203747073
Not Pass,Not Pass,Not Pass,NA,152,0.17798594847775176
Pass,NA,NA,NA,145,0.16978922716627634
Pass,Not Compilable,Not Compilable,NA,93,0.10889929742388758
Not Pass,NA,NA,NA,87,0.10187353629976581
Not Pass,Not Compilable,Not Compilable,NA,48,0.05620608899297424
Pass,Not Pass,Pass,NA,42,0.04918032786885246
Not Pass,Pass,Not Pass,NA,27,0.03161592505854801
Pass,Pass,Not Pass,NA,27,0.03161592505854801
Not Compilable,NA,NA,NA,26,0.03044496487119438
Pass,Pass,Pass,NA,11,0.01288056206088993
Not Pass,Not Pass,Pass,NA,11,0.01288056206088993
Not Pass,Pass,Pass,NA,8,0.00936768149882904
NA,NA,NA,NA,5,0.00585480093676815
Not Pass,NA,Pass,NA,1,0.00117096018735363
