bug_id,bug_score,fix_score,code_score,total_score
1,0.8690476190476191,0.9,0,0.44226190476190474
3,0.6951219512195121,0.7380952380952381,1,0.8583042973286876
4,0.88,0.88,0,0.44
5,0.25,0.4523809523809524,1,0.6755952380952381
6,0.6470588235294118,0.6470588235294118,0,0.3235294117647059
7,0.8148148148148148,0.8148148148148148,0,0.4074074074074074
8,0.5833333333333334,0.6153846153846154,1,0.7996794871794872
9,0.8461538461538461,0.8214285714285714,0,0.41689560439560436
10,0.875,0.9375,0,0.453125
11,0.6923076923076923,0.8536585365853658,1,0.8864915572232646
12,0.2,0.2972972972972973,0,0.12432432432432433
13,0.36363636363636365,0.3076923076923077,1,0.6678321678321678
14,0.8,0.8461538461538461,1,0.9115384615384615
15,0.5151515151515151,0.5151515151515151,0,0.25757575757575757
16,0.49295774647887325,0.49295774647887325,0,0.24647887323943662
17,0.6,0.5555555555555556,0,0.28888888888888886
19,0.46153846153846156,0.6071428571428571,0,0.26717032967032966
20,0.5384615384615384,0.5384615384615384,0,0.2692307692307692
21,0.9,1.0,1,0.975
22,0.9444444444444444,0.9444444444444444,0,0.4722222222222222
23,0.0,0.0,0,0.0
24,0.8070175438596491,0.8070175438596491,1,0.9035087719298245
26,1.0,1.0,1,1.0
27,0.7391304347826086,0.7391304347826086,0,0.3695652173913043
28,0.7368421052631579,0.7083333333333334,1,0.8612938596491229
29,1.0,1.0,0,0.5
30,0.8070175438596491,0.7916666666666666,0,0.3996710526315789
31,0.7,0.7333333333333333,1,0.8583333333333333
32,0.6666666666666666,0.0,0,0.16666666666666666
33,1.0,0.875,1,0.96875
34,1.0,1.0,0,0.5
35,0.3125,0.5,1,0.703125
36,0.8032786885245902,0.7936507936507936,1,0.899232370543846
37,0.7777777777777778,0.6666666666666666,1,0.8611111111111112
38,1.0,0.75,0,0.4375
39,0.9298245614035088,0.8983050847457628,1,0.9570324115373179
40,0.6666666666666666,0.6666666666666666,0,0.3333333333333333
41,0.5294117647058824,0.5294117647058824,0,0.2647058823529412
42,0.8571428571428571,0.5833333333333334,1,0.8601190476190477
43,0.23529411764705882,0.23529411764705882,0,0.11764705882352941
44,0.7692307692307693,0.7692307692307693,0,0.38461538461538464
45,1.0,1.0,0,0.5
46,0.28125,0.3442622950819672,1,0.6563780737704918
47,0.75,0.6785714285714286,1,0.8571428571428572
49,1.0,1.0,0,0.5
50,0.8235294117647058,0.7333333333333333,1,0.8892156862745098
51,0.9655172413793104,0.967741935483871,1,0.9833147942157954
52,0.425531914893617,0.44,1,0.7163829787234043
53,0.7241379310344828,0.8275862068965517,1,0.8879310344827587
54,0.7272727272727273,0.6538461538461539,0,0.3452797202797203
55,0.6,0.3333333333333333,1,0.7333333333333334
56,0.0,0.0,0,0.0
57,0.0,0.0,0,0.0
58,0.7790697674418605,0.7906976744186046,1,0.8924418604651163
59,0.8333333333333334,0.9166666666666666,1,0.9375
60,0.3076923076923077,0.7692307692307693,1,0.7692307692307693
61,0.7777777777777778,0.7222222222222222,1,0.875
62,0.30864197530864196,0.3048780487804878,0,0.15338000602228244
63,0.8,0.8,0,0.4
64,1.0,0.8333333333333334,1,0.9583333333333334
65,0.08333333333333333,0.2,0,0.07083333333333333
