bug_id,bug_score,fix_score,code_score,total_score
1,0.5306122448979592,0.0,0,0.1326530612244898
2,0.4634146341463415,0.0,0,0.11585365853658537
3,0.5,0.0,1,0.625
4,0.9428571428571428,0.0,0,0.2357142857142857
5,0.7777777777777778,0.0,1,0.6944444444444444
6,0.5681818181818182,0.5681818181818182,0,0.2840909090909091
7,0.7619047619047619,0.7619047619047619,0,0.38095238095238093
8,0.75,0.6875,0,0.359375
9,0.9375,0.875,0,0.453125
10,0.6666666666666666,0.7142857142857143,0,0.34523809523809523
11,0.0,0.0,0,0.0
12,0.875,0.9,1,0.94375
13,0.8378378378378378,0.8378378378378378,0,0.4189189189189189
14,0.8888888888888888,0.7777777777777778,0,0.41666666666666663
15,0.875,1.0,1,0.96875
16,0.65,0.6521739130434783,0,0.3255434782608696
17,0.8333333333333334,0.8333333333333334,0,0.4166666666666667
18,0.18181818181818182,0.5,1,0.6704545454545454
19,0.6111111111111112,0.6666666666666666,1,0.8194444444444444
20,0.8571428571428571,0.9230769230769231,1,0.945054945054945
22,0.5,0.0,0,0.125
23,0.9459459459459459,0.0,1,0.7364864864864865
24,0.5161290322580645,0.0,0,0.12903225806451613
25,0.9,0.0,0,0.225
26,0.2,0.0,0,0.05
27,0.7857142857142857,0.0,0,0.19642857142857142
