bug_id,bug_score,fix_score,code_score,total_score
1,0.6923076923076923,0.7037037037037037,1,0.849002849002849
2,0.75,0.3333333333333333,0,0.2708333333333333
3,0.42857142857142855,0.45714285714285713,1,0.7214285714285714
4,0.42857142857142855,0.4634146341463415,1,0.7229965156794425
5,0.7692307692307693,0.75,1,0.8798076923076923
6,0.9047619047619048,0.7,0,0.4011904761904762
7,1.0,0.7142857142857143,0,0.4285714285714286
8,0.7692307692307693,0.7857142857142857,1,0.8887362637362637
9,0.5,0.5,1,0.75
10,0.6056338028169014,0.6056338028169014,0,0.3028169014084507
11,0.6666666666666666,0.0,0,0.16666666666666666
12,1.0,1.0,1,1.0
13,0.14285714285714285,0.3333333333333333,1,0.6190476190476191
14,0.3181818181818182,0.3181818181818182,0,0.1590909090909091
15,0.49295774647887325,0.0,0,0.12323943661971831
16,1.0,1.0,0,0.5
17,0.5,0.5,1,0.75
18,0.5952380952380952,0.0,0,0.1488095238095238
19,0.8333333333333334,0.0,0,0.20833333333333334
20,0.0,0.0,0,0.0
21,0.0,0.0,0,0.0
22,0.11486486486486487,0.11333333333333333,1,0.5570495495495495
23,0.7222222222222222,0.7222222222222222,0,0.3611111111111111
24,0.75,0.75,1,0.875
25,0.10309278350515463,0.0,0,0.02577319587628866
26,0.0,0.0,0,0.0
27,0.46511627906976744,0.46511627906976744,0,0.23255813953488372
28,0.6666666666666666,0.625,1,0.8229166666666666
29,0.5238095238095238,0.36,1,0.720952380952381
30,0.20238095238095238,0.1839080459770115,0,0.09657224958949097
31,0.4393939393939394,0.42424242424242425,0,0.2159090909090909
32,0.3269230769230769,0.3018867924528302,1,0.6572024673439768
33,0.6923076923076923,0.8571428571428571,1,0.8873626373626373
34,0.7142857142857143,0.7142857142857143,1,0.8571428571428572
35,0.20833333333333334,0.2,0,0.10208333333333333
36,0.09090909090909091,0.15384615384615385,0,0.06118881118881119
37,0.6666666666666666,0.6666666666666666,0,0.3333333333333333
38,0.5,0.5862068965517241,0,0.27155172413793105
39,1.0,1.0,0,0.5
40,0.0,0.0,0,0.0
41,1.0,1.0,1,1.0
42,0.6666666666666666,0.6,1,0.8166666666666667
43,0.1111111111111111,0.3333333333333333,0,0.1111111111111111
44,0.6666666666666666,0.6666666666666666,0,0.3333333333333333
45,0.3,0.0,0,0.075
46,1.0,1.0,0,0.5
47,0.24528301886792453,0.24528301886792453,0,0.12264150943396226
48,0.4375,0.45,0,0.221875
49,1.0,0.0,0,0.25
50,0.3333333333333333,0.32142857142857145,0,0.1636904761904762
51,0.5294117647058824,0.5,1,0.7573529411764706
52,0.5769230769230769,0.0,0,0.14423076923076922
53,0.5217391304347826,0.532608695652174,0,0.26358695652173914
54,0.6363636363636364,0.6363636363636364,1,0.8181818181818181
55,0.625,0.7,0,0.33125
56,0.2926829268292683,0.4666666666666667,1,0.6898373983739837
57,0.6666666666666666,0.6666666666666666,1,0.8333333333333333
58,0.07692307692307693,0.8571428571428571,1,0.7335164835164836
59,0.2765957446808511,0.33962264150943394,0,0.15405459654757125
60,0.34615384615384615,0.37037037037037035,0,0.17913105413105412
61,0.5405405405405406,0.5263157894736842,0,0.2667140825035562
62,0.631578947368421,0.56,1,0.7978947368421052
63,0.6666666666666666,0.0,0,0.16666666666666666
64,0.5,0.5,0,0.25
66,0.25,0.0,0,0.0625
67,0.5789473684210527,0.8421052631578947,1,0.8552631578947368
68,0.058823529411764705,0.0594059405940594,0,0.029557367501456027
69,0.47368421052631576,0.0,0,0.11842105263157894
70,0.8823529411764706,0.7647058823529411,1,0.9117647058823529
71,0.47368421052631576,0.05263157894736842,1,0.631578947368421
72,0.0,0.0,0,0.0
73,0.68,0.72,0,0.35
