bug_id,bug_score,fix_score,code_score,total_score
1,0.8850574712643678,0.0,0,0.22126436781609196
2,1.0,1.0,1,1.0
3,0.7142857142857143,0.5714285714285714,0,0.3214285714285714
4,0.28,0.4482758620689655,1,0.6820689655172414
5,0.7692307692307693,0.7692307692307693,1,0.8846153846153846
6,0.5545774647887324,0.6313043478260869,0,0.2964704531537048
7,0.65,0.5737704918032787,0,0.30594262295081964
8,0.42857142857142855,0.0,0,0.10714285714285714
9,1.0,1.0,0,0.5
10,0.65,0.7142857142857143,1,0.8410714285714286
11,0.8333333333333334,0.8333333333333334,1,0.9166666666666667
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.4,0.4,0,0.2
15,0.788235294117647,0.8,0,0.3970588235294118
16,0.9263157894736842,0.9368421052631579,0,0.46578947368421053
17,1.0,1.0,0,0.5
18,0.6818181818181818,0.6818181818181818,0,0.3409090909090909
19,0.5,0.0,0,0.125
20,1.0,0.8333333333333334,0,0.45833333333333337
21,0.96,0.86,0,0.45499999999999996
22,1.0,0.8,1,0.95
23,0.6862745098039216,0.6952380952380952,1,0.8453781512605042
24,0.7722772277227723,0.7821782178217822,1,0.8886138613861386
25,0.673469387755102,0.6666666666666666,0,0.33503401360544216
26,0.7906976744186046,0.7209302325581395,1,0.877906976744186
27,1.0,1.0,1,1.0
28,0.8888888888888888,0.8888888888888888,0,0.4444444444444444
29,1.0,0.9583333333333334,1,0.9895833333333334
30,0.8333333333333334,0.8333333333333334,0,0.4166666666666667
31,0.5,0.5555555555555556,0,0.2638888888888889
32,0.78125,0.78125,0,0.390625
33,0.6956521739130435,0.0,0,0.17391304347826086
34,1.0,0.2857142857142857,0,0.3214285714285714
35,1.0,0.6,0,0.4
36,1.0,0.21428571428571427,0,0.30357142857142855
37,0.8571428571428571,0.8461538461538461,0,0.4258241758241758
38,0.7478260869565218,0.7181818181818181,0,0.366501976284585
39,0.5789473684210527,0.7777777777777778,1,0.8391812865497076
40,0.6413043478260869,0.6413043478260869,0,0.32065217391304346
41,0.8947368421052632,0.8947368421052632,1,0.9473684210526316
42,0.7222222222222222,0.7777777777777778,0,0.375
43,0.7857142857142857,1.0,1,0.9464285714285714
44,0.7407407407407407,0.7272727272727273,0,0.367003367003367
45,0.8,0.8333333333333334,0,0.4083333333333333
46,0.30434782608695654,0.30434782608695654,1,0.6521739130434783
47,0.7,0.7,1,0.85
48,0.45098039215686275,0.5,1,0.7377450980392157
49,0.21428571428571427,0.0,0,0.05357142857142857
50,0.5849056603773585,0.5283018867924528,1,0.7783018867924528
51,0.46938775510204084,0.48,0,0.23734693877551022
52,0.9183673469387755,0.9183673469387755,0,0.45918367346938777
53,1.0,0.6,1,0.9
54,0.3375,0.32926829268292684,0,0.1666920731707317
55,1.0,0.0,0,0.25
56,0.85,0.8461538461538461,1,0.9240384615384616
57,0.9047619047619048,0.9047619047619048,1,0.9523809523809523
58,0.5,0.5,0,0.25
59,1.0,1.0,1,1.0
60,1.0,0.5454545454545454,1,0.8863636363636364
61,1.0,0.0,0,0.25
62,0.7,0.7,0,0.35
63,1.0,0.0,0,0.25
64,0.823076923076923,0.8320610687022901,0,0.4137844979448033
65,1.0,1.0,0,0.5
66,0.7425742574257426,0.7425742574257426,0,0.3712871287128713
67,0.5,0.5,0,0.25
68,0.9389312977099237,0.9389312977099237,0,0.46946564885496184
69,1.0,1.0,1,1.0
70,0.0,1.0,1,0.75
71,0.7295597484276729,0.7267080745341615,0,0.3640669557404586
72,0.36363636363636365,0.5909090909090909,1,0.7386363636363636
73,0.5789473684210527,0.5714285714285714,1,0.7875939849624061
74,0.6813186813186813,0.6703296703296703,0,0.33791208791208793
75,1.0,0.2222222222222222,0,0.3055555555555556
76,0.5925925925925926,0.5535714285714286,0,0.2865410052910053
77,0.9,0.9,1,0.95
78,0.5416666666666666,0.6,0,0.28541666666666665
79,1.0,1.0,1,1.0
80,1.0,0.9090909090909091,0,0.4772727272727273
81,0.4878048780487805,0.4898785425101215,0,0.2444208551397255
82,1.0,0.8571428571428571,1,0.9642857142857143
83,1.0,1.0,0,0.5
84,0.9285714285714286,0.0,0,0.23214285714285715
85,0.6818181818181818,0.0,0,0.17045454545454544
86,0.7419354838709677,0.7878787878787878,1,0.8824535679374389
87,0.7142857142857143,1.0,1,0.9285714285714286
88,1.0,1.0,0,0.5
89,0.5,0.5,1,0.75
90,0.45454545454545453,0.45454545454545453,1,0.7272727272727273
91,1.0,1.0,1,1.0
92,0.5925925925925926,0.7142857142857143,0,0.32671957671957674
93,0.6923076923076923,0.6,0,0.32307692307692304
94,0.8181818181818182,0.8181818181818182,0,0.4090909090909091
95,1.0,0.6,1,0.9
96,0.5833333333333334,0.5833333333333334,0,0.2916666666666667
97,0.9,0.7142857142857143,1,0.9035714285714286
98,0.9130434782608695,0.8260869565217391,1,0.9347826086956521
99,0.8275862068965517,0.8125,0,0.4100215517241379
100,0.44,0.84,1,0.8200000000000001
101,0.4411764705882353,0.4857142857142857,0,0.23172268907563026
102,0.8,0.8,0,0.4
103,1.0,0.16666666666666666,0,0.2916666666666667
104,0.0,0.0,0,0.0
105,1.0,0.75,1,0.9375
106,0.6129032258064516,0.7027027027027027,1,0.8289014821272886
