bug_id,bug_score,fix_score,code_score,total_score
1,0.8,0.8571428571428571,1,0.9142857142857143
2,0.5,0.5,0,0.25
3,0.4,0.4,0,0.2
4,0.0,0.6666666666666666,1,0.6666666666666666
5,0.75,0.8,1,0.8875
6,0.8,0.6666666666666666,1,0.8666666666666667
7,0.8823529411764706,0.9,0,0.4455882352941176
8,0.7714285714285715,0.7714285714285715,0,0.38571428571428573
9,0.0,0.0,0,0.0
10,0.8571428571428571,0.0,0,0.21428571428571427
11,0.7391304347826086,0.782608695652174,1,0.8804347826086957
12,0.0,0.0,0,0.0
13,0.4444444444444444,0.36363636363636365,0,0.20202020202020202
14,0.4716981132075472,0.48148148148148145,0,0.23829489867225717
15,0.5283018867924528,0.6981132075471698,1,0.8066037735849056
16,0.5151515151515151,0.5555555555555556,0,0.2676767676767677
