project,bug_id,n_relevant_testcase
Chart,1,300
Chart,2,300
Chart,3,86
Chart,4,300
Chart,5,292
Chart,6,300
Chart,7,16
Chart,8,23
Chart,9,64
Chart,10,1
Chart,11,300
Chart,12,201
Chart,13,195
Chart,14,300
Chart,15,199
Chart,16,25
Chart,17,60
Chart,18,300
Chart,19,300
Chart,20,296
Chart,21,17
Chart,22,51
Chart,23,5
Chart,24,15
Chart,25,9
Chart,26,300
Cli,1,77
Cli,2,69
Cli,3,1
Cli,4,85
Cli,5,88
Cli,8,21
Cli,9,89
Cli,10,90
Cli,11,25
Cli,12,36
Cli,13,292
Cli,14,153
Cli,15,226
Cli,16,300
Cli,17,98
Cli,18,99
Cli,19,100
Cli,20,101
Cli,21,300
Cli,22,95
Cli,23,36
Cli,24,38
Cli,25,38
Cli,26,112
Cli,27,135
Cli,28,138
Cli,29,136
Cli,30,136
Cli,31,175
Cli,32,47
Cli,33,48
Cli,34,182
Cli,35,168
Cli,37,7
Cli,38,8
Cli,39,18
Cli,40,35
Closure,1,300
Closure,2,300
Closure,3,300
Closure,4,300
Closure,5,300
Closure,6,300
Closure,7,300
Closure,8,282
Closure,9,117
Closure,10,300
Closure,11,300
Closure,12,300
Closure,13,300
Closure,14,300
Closure,15,300
Closure,16,300
Closure,17,300
Closure,18,300
Closure,19,300
Closure,20,300
Closure,21,300
Closure,22,300
Closure,23,300
Closure,24,300
Closure,25,300
Closure,26,300
Closure,27,300
Closure,28,300
Closure,29,291
Closure,30,300
Closure,31,300
Closure,32,300
Closure,33,300
Closure,34,300
Closure,35,300
Closure,36,300
Closure,37,300
Closure,38,300
Closure,39,300
Closure,40,300
Closure,41,300
Closure,42,300
Closure,43,300
Closure,44,300
Closure,45,177
Closure,46,300
Closure,47,300
Closure,48,300
Closure,49,300
Closure,50,101
Closure,51,300
Closure,52,300
Closure,53,116
Closure,54,300
Closure,55,96
Closure,56,300
Closure,57,300
Closure,58,177
Closure,59,300
Closure,60,300
Closure,61,300
Closure,62,300
Closure,64,300
Closure,65,300
Closure,66,300
Closure,67,134
Closure,68,300
Closure,69,300
Closure,70,300
Closure,71,300
Closure,72,300
Closure,73,300
Closure,74,170
Closure,75,300
Closure,76,107
Closure,77,300
Closure,78,156
Closure,79,300
Closure,80,300
Closure,81,300
Closure,82,300
Closure,83,53
Closure,84,300
Closure,85,77
Closure,86,300
Closure,87,112
Closure,88,92
Closure,89,300
Closure,90,300
Closure,91,96
Closure,92,300
Closure,94,300
Closure,95,300
Closure,96,300
Closure,97,82
Closure,98,300
Closure,99,75
Closure,100,71
Closure,101,21
Closure,102,300
Closure,103,300
Closure,104,300
Closure,105,106
Closure,106,300
Closure,107,115
Closure,108,300
Closure,109,300
Closure,110,300
Closure,111,300
Closure,112,300
Closure,113,300
Closure,114,300
Closure,115,300
Closure,116,300
Closure,117,300
Closure,118,300
Closure,119,300
Closure,120,300
Closure,121,300
Closure,122,300
Closure,123,300
Closure,124,300
Closure,125,300
Closure,126,300
Closure,127,300
Closure,128,300
Closure,129,300
Closure,130,300
Closure,131,300
Closure,132,300
Closure,133,300
Closure,134,300
Closure,135,300
Closure,136,102
Closure,137,300
Closure,138,300
Closure,139,300
Closure,140,300
Closure,141,300
Closure,142,300
Closure,143,91
Closure,144,300
Closure,145,300
Closure,146,300
Closure,147,101
Closure,148,92
Closure,149,300
Closure,151,39
Closure,152,300
Closure,153,300
Closure,154,300
Closure,155,300
Closure,156,300
Closure,157,300
Closure,158,300
Closure,159,286
Closure,160,300
Closure,161,180
Closure,162,300
Closure,163,300
Closure,164,300
Closure,165,300
Closure,166,300
Closure,167,300
Closure,169,300
Closure,170,300
Closure,171,300
Closure,172,300
Closure,173,300
Closure,174,300
Closure,175,300
Closure,176,300
Codec,1,74
Codec,2,50
Codec,3,17
Codec,4,72
Codec,5,83
Codec,6,10
Codec,7,85
Codec,8,86
Codec,9,87
Codec,10,9
Codec,11,33
Codec,12,35
Codec,14,26
Codec,15,28
Codec,17,300
Codec,18,300
Collections,1,13
Collections,2,10
Collections,3,73
Collections,4,23
Collections,5,16
Collections,6,14
Collections,7,14
Collections,8,25
Collections,9,15
Collections,11,22
Collections,12,16
Collections,13,17
Collections,14,5
Collections,15,17
Collections,16,18
Collections,17,195
Collections,18,10
Collections,19,22
Collections,20,6
Collections,21,23
Collections,22,24
Collections,23,3
Collections,24,100
Collections,25,209
Collections,26,24
Collections,27,67
Collections,28,10
Compress,1,26
Compress,2,53
Compress,3,82
Compress,4,83
Compress,5,101
Compress,6,80
Compress,7,61
Compress,8,63
Compress,9,138
Compress,10,35
Compress,11,157
Compress,12,164
Compress,13,103
Compress,14,85
Compress,15,104
Compress,16,165
Compress,17,102
Compress,18,174
Compress,19,135
Compress,20,184
Compress,21,15
Compress,22,55
Compress,23,25
Compress,24,124
Compress,25,249
Compress,26,266
Compress,27,128
Compress,28,277
Compress,29,300
Compress,30,93
Compress,31,136
Compress,32,295
Compress,33,42
Compress,34,150
Compress,35,140
Compress,36,103
Compress,37,300
Compress,38,129
Compress,39,162
Compress,40,50
Compress,41,300
Compress,42,170
Compress,43,300
Compress,44,54
Compress,45,146
Compress,46,178
Compress,47,300
Csv,1,50
Csv,2,63
Csv,3,77
Csv,4,125
Csv,5,139
Csv,6,109
Csv,7,148
Csv,8,176
Csv,9,111
Csv,10,151
Csv,11,160
Csv,13,212
Csv,14,242
Csv,15,279
Csv,16,149
Gson,1,300
Gson,2,300
Gson,3,300
Gson,4,300
Gson,5,9
Gson,6,300
Gson,7,300
Gson,8,300
Gson,9,300
Gson,10,300
Gson,11,300
Gson,12,300
Gson,13,300
Gson,14,300
Gson,15,300
Gson,16,300
Gson,17,300
Gson,18,300
JacksonCore,1,170
JacksonCore,2,184
JacksonCore,3,139
JacksonCore,4,199
JacksonCore,5,4
JacksonCore,6,5
JacksonCore,7,117
JacksonCore,8,213
JacksonCore,9,246
JacksonCore,10,292
JacksonCore,11,297
JacksonCore,12,300
JacksonCore,13,300
JacksonCore,14,300
JacksonCore,15,14
JacksonCore,16,2
JacksonCore,17,300
JacksonCore,18,300
JacksonCore,19,300
JacksonCore,20,300
JacksonCore,21,16
JacksonCore,22,20
JacksonCore,23,300
JacksonCore,24,300
JacksonCore,25,300
JacksonCore,26,300
JacksonDatabind,1,300
JacksonDatabind,2,300
JacksonDatabind,3,300
JacksonDatabind,4,300
JacksonDatabind,5,300
JacksonDatabind,6,300
JacksonDatabind,7,300
JacksonDatabind,8,300
JacksonDatabind,9,300
JacksonDatabind,10,300
JacksonDatabind,11,300
JacksonDatabind,12,300
JacksonDatabind,13,300
JacksonDatabind,14,300
JacksonDatabind,15,300
JacksonDatabind,16,300
JacksonDatabind,17,300
JacksonDatabind,18,26
JacksonDatabind,19,300
JacksonDatabind,20,300
JacksonDatabind,21,300
JacksonDatabind,22,300
JacksonDatabind,23,300
JacksonDatabind,24,300
JacksonDatabind,25,300
JacksonDatabind,27,300
JacksonDatabind,28,164
JacksonDatabind,29,33
JacksonDatabind,30,300
JacksonDatabind,31,300
JacksonDatabind,32,300
JacksonDatabind,33,300
JacksonDatabind,34,300
JacksonDatabind,35,277
JacksonDatabind,36,300
JacksonDatabind,37,300
JacksonDatabind,38,300
JacksonDatabind,39,235
JacksonDatabind,41,300
JacksonDatabind,42,300
JacksonDatabind,43,300
JacksonDatabind,44,300
JacksonDatabind,45,300
JacksonDatabind,46,300
JacksonDatabind,47,300
JacksonDatabind,48,300
JacksonDatabind,49,45
JacksonDatabind,50,300
JacksonDatabind,51,300
JacksonDatabind,52,300
JacksonDatabind,53,300
JacksonDatabind,54,300
JacksonDatabind,55,300
JacksonDatabind,56,300
JacksonDatabind,57,300
JacksonDatabind,58,300
JacksonDatabind,59,300
JacksonDatabind,60,300
JacksonDatabind,61,300
JacksonDatabind,62,300
JacksonDatabind,63,300
JacksonDatabind,64,300
JacksonDatabind,66,300
JacksonDatabind,67,300
JacksonDatabind,68,300
JacksonDatabind,69,300
JacksonDatabind,70,300
JacksonDatabind,71,300
JacksonDatabind,73,300
JacksonDatabind,74,300
JacksonDatabind,75,300
JacksonDatabind,76,300
JacksonDatabind,77,300
JacksonDatabind,78,300
JacksonDatabind,79,300
JacksonDatabind,80,300
JacksonDatabind,81,300
JacksonDatabind,82,300
JacksonDatabind,83,300
JacksonDatabind,84,300
JacksonDatabind,85,300
JacksonDatabind,86,300
JacksonDatabind,87,300
JacksonDatabind,88,247
JacksonDatabind,90,300
JacksonDatabind,91,300
JacksonDatabind,93,300
JacksonDatabind,94,300
JacksonDatabind,95,300
JacksonDatabind,96,300
JacksonDatabind,97,300
JacksonDatabind,98,52
JacksonDatabind,99,300
JacksonDatabind,100,300
JacksonDatabind,101,300
JacksonDatabind,102,300
JacksonDatabind,103,300
JacksonDatabind,104,300
JacksonDatabind,105,300
