bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,0.40229885057471265,0.9459459459459459,0.5645161290322581,0.40229885057471265,0.9459459459459459,0.5645161290322581,0.5645161290322581,0.5645161290322581,pass
2,0.18181818181818182,0.4,0.25000000000000006,0.2727272727272727,0.6,0.37499999999999994,0.25000000000000006,0.37499999999999994,pass
3,0.43243243243243246,1.0,0.6037735849056604,0.43243243243243246,1.0,0.6037735849056604,0.6037735849056604,0.6037735849056604,notpass
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
5,0.6551724137931034,1.0,0.7916666666666666,0.8333333333333334,0.9615384615384616,0.8928571428571429,0.7916666666666666,0.8928571428571429,pass
6,0.6875,0.9166666666666666,0.7857142857142857,0.6875,0.9166666666666666,0.7857142857142857,0.7857142857142857,0.7857142857142857,notpass
7,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.8,notpass
8,0.76,1.0,0.8636363636363636,0.76,1.0,0.8636363636363636,0.8636363636363636,0.8636363636363636,notpass
9,0.8571428571428571,1.0,0.923076923076923,0.7142857142857143,1.0,0.8333333333333333,0.923076923076923,0.8333333333333333,pass
10,1.0,0.8688524590163934,0.9298245614035088,1.0,0.8688524590163934,0.9298245614035088,0.9298245614035088,0.9298245614035088,pass
11,0.7878787878787878,1.0,0.8813559322033898,0.8333333333333334,0.967741935483871,0.8955223880597015,0.8813559322033898,0.8955223880597015,notpass
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,notpass
14,0.8095238095238095,0.9444444444444444,0.8717948717948718,0.0,0.0,0.0,0.8717948717948718,0.0,not_compilable
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
17,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.6666666666666666,pass
18,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,notpass
