bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,0.5714285714285714,0.9230769230769231,0.7058823529411765,0.5909090909090909,1.0,0.7428571428571429,0.7058823529411765,0.7428571428571429,notpass
2,1.0,0.6923076923076923,0.8181818181818181,1.0,0.7692307692307693,0.8695652173913044,0.8181818181818181,0.8695652173913044,notpass
3,0.25,1.0,0.4,0.3333333333333333,1.0,0.5,0.4,0.5,notpass
4,0.8,0.6666666666666666,0.7272727272727272,1.0,0.8571428571428571,0.923076923076923,0.7272727272727272,0.923076923076923,pass
5,0.8,1.0,0.888888888888889,1.0,1.0,1.0,0.888888888888889,1.0,pass
8,0.75,1.0,0.8571428571428571,0.6428571428571429,1.0,0.782608695652174,0.8571428571428571,0.782608695652174,notpass
9,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0,1.0,0.9411764705882353,1.0,pass
10,1.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.8,0.0,not_compilable
11,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.7142857142857143,0.6153846153846153,pass
12,0.6956521739130435,0.9411764705882353,0.7999999999999999,0.5555555555555556,1.0,0.7142857142857143,0.7999999999999999,0.7142857142857143,pass
13,0.36363636363636365,0.75,0.48979591836734687,0.4,0.7777777777777778,0.5283018867924528,0.48979591836734687,0.5283018867924528,notpass
14,0.35294117647058826,0.8571428571428571,0.5,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.5,0.5925925925925927,pass
15,0.6,0.75,0.6666666666666665,0.6,0.3333333333333333,0.42857142857142855,0.6666666666666665,0.42857142857142855,pass
16,1.0,0.7931034482758621,0.8846153846153846,0.0,0.0,0.0,0.8846153846153846,0.0,not_compilable
17,0.6923076923076923,1.0,0.8181818181818181,0.6923076923076923,0.9,0.7826086956521738,0.8181818181818181,0.7826086956521738,pass
18,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5263157894736842,0.5555555555555556,0.5405405405405405,0.47058823529411764,0.5405405405405405,pass
19,0.42857142857142855,1.0,0.6,0.0,0.0,0.0,0.6,0.0,not_compilable
20,0.6923076923076923,0.5294117647058824,0.5999999999999999,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.5999999999999999,0.5806451612903226,notpass
21,1.0,0.9,0.9473684210526316,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9473684210526316,0.8461538461538461,pass
22,0.48,0.5454545454545454,0.5106382978723404,0.4583333333333333,0.4782608695652174,0.4680851063829787,0.5106382978723404,0.4680851063829787,notpass
23,1.0,1.0,1.0,0.9375,1.0,0.967741935483871,1.0,0.967741935483871,pass
24,1.0,1.0,1.0,0.5789473684210527,1.0,0.7333333333333334,1.0,0.7333333333333334,notpass
25,1.0,1.0,1.0,0.7222222222222222,1.0,0.8387096774193548,1.0,0.8387096774193548,notpass
26,1.0,0.9,0.9473684210526316,1.0,1.0,1.0,0.9473684210526316,1.0,pass
27,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.923076923076923,notpass
28,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9142857142857143,0.9142857142857143,pass
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
30,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.0,0.0,0.0,0.7586206896551724,0.0,not_compilable
31,0.8333333333333334,0.29411764705882354,0.4347826086956522,0.8333333333333334,0.29411764705882354,0.4347826086956522,0.4347826086956522,0.4347826086956522,notpass
32,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,1.0,0.962962962962963,0.962962962962963,0.962962962962963,notpass
33,0.8,1.0,0.888888888888889,0.7272727272727273,1.0,0.8421052631578948,0.888888888888889,0.8421052631578948,notpass
34,1.0,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.9411764705882353,pass
35,1.0,1.0,1.0,0.4444444444444444,1.0,0.6153846153846153,1.0,0.6153846153846153,pass
37,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,1.0,0.4,notpass
38,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,0.8571428571428571,pass
39,0.45,1.0,0.6206896551724138,0.0,0.0,0.0,0.6206896551724138,0.0,not_compilable
40,0.5263157894736842,1.0,0.6896551724137931,0.47619047619047616,1.0,0.6451612903225806,0.6896551724137931,0.6451612903225806,pass
