project,bug_id,bug_score,fix_score,code_status,total_score
Jsoup,21,0.9565217391304348,0.9545454545454546,Not Pass,0.47776679841897235
Math,16,0.9368421052631579,0.9619047619047619,Pass,0.9746867167919799
Math,83,0.9523809523809523,0.9523809523809523,Not Pass,0.47619047619047616
Chart,15,0.8666666666666667,1.0,Pass,0.9666666666666667
Cli,9,1.0,1.0,Pass,1.0
Closure,68,0.9690522243713733,0.9812108559498957,Not Pass,0.4875657700803172
Math,39,0.9868421052631579,0.9759036144578314,Pass,0.9906864299302474
JacksonDatabind,4,0.6571428571428571,0.6285714285714286,Not Pass,0.3214285714285714
Csv,15,0.7547169811320755,0.9622641509433962,Pass,0.929245283018868
Closure,74,0.7191011235955056,0.7176470588235294,Not Pass,0.3591870456047588
Math,78,0.9583333333333334,0.9791666666666666,Not Pass,0.484375
Closure,155,0.8194444444444444,0.0,Not Compilable,0.2048611111111111
Jsoup,89,0.8571428571428571,0.8888888888888888,Pass,0.9365079365079365
JacksonCore,16,0.9,0.0,Not Compilable,0.225
Jsoup,13,1.0,1.0,Pass,1.0
Jsoup,14,1.0,1.0,Not Pass,0.5
Lang,30,0.8070175438596491,0.8148148148148148,Pass,0.905458089668616
Closure,121,0.5111111111111111,0.5217391304347826,Not Pass,0.25821256038647344
Closure,70,0.9333333333333333,1.0,Not Pass,0.48333333333333334
JxPath,17,0.9215686274509803,0.9215686274509803,Not Pass,0.46078431372549017
Csv,14,0.9433962264150944,0.9811320754716981,Pass,0.9811320754716981
Mockito,14,0.8571428571428571,0.0,Not Compilable,0.21428571428571427
Codec,3,0.40540540540540543,0.8918918918918919,Pass,0.8243243243243243
JacksonDatabind,25,0.7938144329896907,0.7731958762886598,Not Pass,0.3917525773195876
Mockito,34,0.8571428571428571,1.0,Pass,0.9642857142857143
Closure,114,0.9166666666666666,0.0,Not Compilable,0.22916666666666666
Mockito,22,0.8,1.0,Pass,0.95
Compress,21,1.0,1.0,Pass,1.0
Compress,40,0.9444444444444444,0.9473684210526315,Not Pass,0.472953216374269
Jsoup,39,0.9696969696969697,0.9705882352941176,Pass,0.9850713012477719
Collections,13,0.6666666666666666,0.875,Pass,0.8854166666666666
JacksonDatabind,3,0.9142857142857143,0.9428571428571428,Pass,0.9642857142857143
Csv,10,1.0,0.0,Not Compilable,0.25
JacksonDatabind,58,0.9615384615384616,0.0,Not Compilable,0.2403846153846154
Cli,24,0.8125,0.8125,Not Pass,0.40625
Closure,32,0.8,0.7068965517241379,Pass,0.8767241379310344
Chart,10,1.0,1.0,Pass,1.0
JacksonDatabind,32,0.8461538461538461,0.8703703703703703,Pass,0.9291310541310541
Compress,11,0.9166666666666666,0.972972972972973,Pass,0.9724099099099099
Jsoup,90,0.6,0.5909090909090909,Pass,0.7977272727272727
Math,60,0.4444444444444444,1.0,Pass,0.8611111111111112
JxPath,21,1.0,1.0,Not Pass,0.5
Lang,41,0.7058823529411765,0.7692307692307693,Pass,0.8687782805429864
JacksonDatabind,64,0.92,0.8979591836734694,Not Pass,0.45448979591836736
JacksonDatabind,70,1.0,0.8823529411764706,Pass,0.9705882352941176
Closure,43,0.8333333333333334,0.0,Not Compilable,0.20833333333333334
JacksonDatabind,33,1.0,0.9285714285714286,Pass,0.9821428571428572
Jsoup,12,0.8461538461538461,0.0,Not Compilable,0.21153846153846154
JacksonDatabind,109,1.0,0.0,Not Compilable,0.25
Jsoup,24,0.8571428571428571,0.7,Pass,0.8892857142857142
Closure,44,0.8888888888888888,0.8888888888888888,Not Pass,0.4444444444444444
JacksonCore,25,0.37037037037037035,0.36,Not Pass,0.18259259259259258
JacksonDatabind,15,0.8732394366197183,0.7466666666666667,Not Pass,0.40497652582159627
JacksonDatabind,110,1.0,0.0,Not Compilable,0.25
Math,21,0.94,0.8695652173913043,Not Pass,0.45239130434782604
Codec,9,0.8571428571428571,1.0,Pass,0.9642857142857143
JacksonCore,9,0.46875,0.0,Not Compilable,0.1171875
JxPath,11,0.45454545454545453,0.45454545454545453,Not Pass,0.22727272727272727
Cli,23,0.75,0.6875,Not Pass,0.359375
Closure,138,0.7878787878787878,0.7666666666666667,Not Pass,0.38863636363636367
JacksonDatabind,36,0.6363636363636364,0.5384615384615384,Not Pass,0.2937062937062937
Collections,11,1.0,1.0,Not Pass,0.5
JacksonDatabind,56,0.926829268292683,1.0,Pass,0.9817073170731707
Closure,21,0.9393939393939394,0.8611111111111112,Not Pass,0.45012626262626265
Lang,42,1.0,1.0,Pass,1.0
Mockito,28,1.0,0.0,Not Compilable,0.25
Cli,4,1.0,1.0,Pass,1.0
Codec,10,1.0,1.0,Pass,1.0
Math,22,1.0,1.0,Pass,1.0
Math,34,1.0,1.0,Not Pass,0.5
Lang,33,1.0,1.0,Pass,1.0
Time,20,0.8571428571428571,1.0,Pass,0.9642857142857143
JxPath,5,0.5,0.625,Pass,0.78125
Cli,34,1.0,1.0,Not Pass,0.5
Gson,15,1.0,1.0,Pass,1.0
Closure,113,0.92,0.9545454545454546,Not Pass,0.46863636363636363
JacksonDatabind,106,1.0,0.0,Not Compilable,0.25
Closure,39,0.9259259259259259,0.9285714285714286,Pass,0.9636243386243386
JacksonDatabind,35,0.3333333333333333,0.32,Not Pass,0.16333333333333333
Jsoup,71,0.9824561403508771,0.0,Not Compilable,0.24561403508771928
JxPath,6,1.0,0.6153846153846154,Pass,0.9038461538461539
JacksonCore,12,0.5907172995780591,0.5798319327731093,Not Pass,0.2926373080877921
JacksonDatabind,60,0.8846153846153846,0.8846153846153846,Not Pass,0.4423076923076923
